objectid,title,description,date,date is approximate,subject,campus_location,buildingid,latitude,longitude,donor,source,identifier,id number,photo number,building number,rights,rightsstatement,format_original,type,format,cdmid,display_template,filename,object_location,image_small,image_thumb
campus00001,"University farms, panoramic view, University of Idaho. [1-1]",1939 panoramic photograph of University farms. Greenhouses are visible in the foreground.,1939,y,streets; campuses; farms; panoramic views; barns,University Farms,universityfarms,46.729654,-117.024232,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-01,18992,1,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,5x7 black and white print,Image;StillImage,image/jpeg,1059,image,campus00001.jpg,https://objects.lib.uidaho.edu/campus/campus00001.jpg,https://objects.lib.uidaho.edu/campus/small/campus00001_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00001_th.jpg
campus00002,"University farms, panoramic view, University of Idaho. [1-10]",1933 panoramic photograph of University farms. The view is looking south the back side of the greenhouses in the center of photo.,1933,,farms; panoramic views,University Farms,universityfarms,46.729654,-117.024232,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-10,19001,10,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,5x7 black and white negative,Image;StillImage,image/jpeg,1089,image,campus00002.jpg,https://objects.lib.uidaho.edu/campus/campus00002.jpg,https://objects.lib.uidaho.edu/campus/small/campus00002_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00002_th.jpg
campus00003,"University farms, panoramic view, University of Idaho. [1-11]",1945 panoramic photograph of University farms. Northeast view of the greenhouses.,1945,,streets; houses; farms; panoramic views,University Farms,universityfarms,46.729654,-117.024232,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-11,19002,11,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white negative,Image;StillImage,image/jpeg,1090,image,campus00003.jpg,https://objects.lib.uidaho.edu/campus/campus00003.jpg,https://objects.lib.uidaho.edu/campus/small/campus00003_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00003_th.jpg
campus00004,"University farms, panoramic view, University of Idaho. [1-12]",1945 panoramic photograph of University farms. Greenhouses on the right.,1945,,streets; farms; houses; panoramic views,University Farms,universityfarms,46.729654,-117.024232,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-12,19003,12,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white negative,Image;StillImage,image/jpeg,1037,image,campus00004.jpg,https://objects.lib.uidaho.edu/campus/campus00004.jpg,https://objects.lib.uidaho.edu/campus/small/campus00004_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00004_th.jpg
campus00005,"University farms, panoramic view, University of Idaho. [1-13]",1917 panoramic photograph of University farms. Haystacks in the foreground. Donor: Hodgins.,1917,y,farms; panoramic views; barns; haystacks,University Farms,universityfarms,46.729654,-117.024232,Hodgins,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-13,19004,13,1,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,6x10 black and white print,Image;StillImage,image/jpeg,1038,image,campus00005.jpg,https://objects.lib.uidaho.edu/campus/campus00005.jpg,https://objects.lib.uidaho.edu/campus/small/campus00005_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00005_th.jpg
campus00006,"University farms, panoramic view, University of Idaho. [1-2]",1936 panoramic photograph of University farms' pig houses.,1936,y,farms; barns; panoramic views,University Farms,universityfarms,46.729654,-117.024232,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-02,18993,2,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,5x7 black and white print,Image;StillImage,image/jpeg,1066,image,campus00006.jpg,https://objects.lib.uidaho.edu/campus/campus00006.jpg,https://objects.lib.uidaho.edu/campus/small/campus00006_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00006_th.jpg
campus00007,"University farms, panoramic view, University of Idaho. View from near Brink Hall. [1-3]",1941 panoramic photograph of University farms. View is from the east near Brink Hall.,1941,,streets; campuses; farms; panoramic views,University Farms,universityfarms,46.729654,-117.024232,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-03,18994,3,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8x10 black and white print,Image;StillImage,image/jpeg,1067,image,campus00007.jpg,https://objects.lib.uidaho.edu/campus/campus00007.jpg,https://objects.lib.uidaho.edu/campus/small/campus00007_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00007_th.jpg
campus00008,"University farms, panoramic view, University of Idaho. View over Brink Hall. [1-4]",1941 panoramic photograph of University farms. View looking east with Brink Hall in the foreground.,1941,y,streets; campuses; farms; panoramic views,University Farms,universityfarms,46.729654,-117.024232,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-04,18995,4,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white print,Image;StillImage,image/jpeg,1080,image,campus00008.jpg,https://objects.lib.uidaho.edu/campus/campus00008.jpg,https://objects.lib.uidaho.edu/campus/small/campus00008_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00008_th.jpg
campus00009,"University farms, panoramic view, University of Idaho. View over Brink Hall. [1-5]",1940 panoramic photograph of University farms. View over Brink Hall. Donor: Publications Dept.,1940,y,streets; campuses; farms; panoramic views,University Farms,universityfarms,46.729654,-117.024232,Publications Dept.,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-05,18996,5,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8x10 black and white print,Image;StillImage,image/jpeg,1082,image,campus00009.jpg,https://objects.lib.uidaho.edu/campus/campus00009.jpg,https://objects.lib.uidaho.edu/campus/small/campus00009_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00009_th.jpg
campus00010,"University farms, panoramic view, University of Idaho. [1-6]",1940 panoramic photograph of University farms. Donor: Publications Dept.,1940,y,farms; panoramic views,University Farms,universityfarms,46.729654,-117.024232,Publications Dept.,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-06,18997,6,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8x10 black and white print,Image;StillImage,image/jpeg,1083,image,campus00010.jpg,https://objects.lib.uidaho.edu/campus/campus00010.jpg,https://objects.lib.uidaho.edu/campus/small/campus00010_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00010_th.jpg
